id,account_status,months,credit_history,purpose,credit_amount,savings,employment,installment_rate,personal_status,guarantors,residence,property,age,other_installments,housing,credit_cards,job,dependents,phone,foreign_worker,credit_rating
24,0 <= x < 200 DM ,18,existing credits paid back duly till now ,furniture/equipment ,1924,unknown/ no savings account ,x < 1 year ,4,female - divorced/separated/married ,none ,3,real estate ,27,none ,rent ,1,skilled employee / official,1,none ,yes ,2
25,0 <= x < 200 DM ,48,existing credits paid back duly till now ,car (new) ,6560,100 <= x < 500 DM ,4 <= x < 7 years ,3,male - single ,none ,2,building society savings agreement/ life insurance ,24,none ,own ,1,skilled employee / official,1,none ,yes ,2
26,0 <= x < 200 DM ,10,all credits at this bank paid back duly ,radio/television ,1048,x < 100 DM ,1 <= x < 4 years ,4,male - single ,none ,4,real estate ,23,stores ,own ,1,unskilled - resident,1,none ,yes ,1
27,no checking account ,9,existing credits paid back duly till now ,radio/television ,2697,x < 100 DM ,1 <= x < 4 years ,1,male - single ,none ,2,real estate ,32,none ,own ,1,skilled employee / official,2,none ,yes ,1
28,no checking account ,12,existing credits paid back duly till now ,radio/television ,804,x < 100 DM ,x>= 7 years ,4,male - single ,none ,4,"car or other, not in attribute Account ",38,none ,own ,1,skilled employee / official,1,none ,yes ,1
29,no checking account ,18,existing credits paid back duly till now ,radio/television ,2051,x < 100 DM ,x < 1 year ,4,male - single ,none ,1,real estate ,33,none ,own ,1,skilled employee / official,1,none ,yes ,1
30,no checking account ,6,critical account/ other credits existing (not at this bank) ,car (new) ,2080,500 <= x < 1000 DM ,1 <= x < 4 years ,1,male - married/widowed ,none ,2,"car or other, not in attribute Account ",24,none ,own ,1,skilled employee / official,1,none ,yes ,1
31,no checking account ,48,critical account/ other credits existing (not at this bank) ,education ,6110,x < 100 DM ,1 <= x < 4 years ,1,male - single ,none ,3,unknown / no property ,31,bank ,for free ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
32,x < 0 DM ,30,no credits taken/ all credits paid back duly ,business ,8072,unknown/ no savings account ,x < 1 year ,2,male - single ,none ,3,"car or other, not in attribute Account ",25,bank ,own ,3,skilled employee / official,1,none ,yes ,1
33,no checking account ,42,critical account/ other credits existing (not at this bank) ,furniture/equipment ,4042,500 <= x < 1000 DM ,1 <= x < 4 years ,4,male - single ,none ,4,real estate ,36,none ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
34,0 <= x < 200 DM ,6,delay in paying off in the past ,business ,1449,100 <= x < 500 DM ,x>= 7 years ,1,male - divorced/separated ,none ,2,"car or other, not in attribute Account ",31,bank ,own ,2,skilled employee / official,2,none ,yes ,1
35,x >= 200 DM / salary assignments for at least 1 year ,12,all credits at this bank paid back duly ,business ,609,x < 100 DM ,x < 1 year ,4,female - divorced/separated/married ,none ,1,real estate ,26,none ,own ,1,unemployed/ unskilled - non-resident,1,none ,yes ,2
36,x < 0 DM ,8,critical account/ other credits existing (not at this bank) ,car (new) ,731,x < 100 DM ,x>= 7 years ,4,male - single ,none ,4,real estate ,47,none ,own ,2,unskilled - resident,1,none ,yes ,1
37,x < 0 DM ,15,existing credits paid back duly till now ,car (new) ,1721,x < 100 DM ,x < 1 year ,2,male - single ,none ,3,real estate ,36,none ,own ,1,skilled employee / official,1,none ,yes ,1
38,x < 0 DM ,48,existing credits paid back duly till now ,education ,7476,x < 100 DM ,4 <= x < 7 years ,4,male - single ,none ,1,unknown / no property ,50,none ,for free ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
39,0 <= x < 200 DM ,12,existing credits paid back duly till now ,radio/television ,1158,500 <= x < 1000 DM ,1 <= x < 4 years ,3,male - divorced/separated ,none ,1,"car or other, not in attribute Account ",26,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
40,x < 0 DM ,12,existing credits paid back duly till now ,car (new) ,3651,x>= 1000 DM ,1 <= x < 4 years ,1,male - single ,none ,3,building society savings agreement/ life insurance ,31,none ,own ,1,skilled employee / official,2,none ,yes ,1
41,0 <= x < 200 DM ,12,critical account/ other credits existing (not at this bank) ,car (new) ,958,x < 100 DM ,4 <= x < 7 years ,2,male - single ,none ,3,real estate ,47,none ,own ,2,unskilled - resident,2,none ,yes ,1
42,no checking account ,12,existing credits paid back duly till now ,radio/television ,1963,x < 100 DM ,4 <= x < 7 years ,4,male - single ,none ,2,"car or other, not in attribute Account ",31,none ,rent ,2,management/ self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name ",yes ,1
43,x < 0 DM ,12,all credits at this bank paid back duly ,radio/television ,626,x < 100 DM ,1 <= x < 4 years ,4,female - divorced/separated/married ,none ,4,real estate ,24,bank ,own ,1,unskilled - resident,1,none ,yes ,2
44,0 <= x < 200 DM ,30,no credits taken/ all credits paid back duly ,business ,4221,x < 100 DM ,1 <= x < 4 years ,2,female - divorced/separated/married ,none ,1,"car or other, not in attribute Account ",28,none ,own ,2,skilled employee / official,1,none ,yes ,1
45,0 <= x < 200 DM ,36,existing credits paid back duly till now ,car (new) ,12389,unknown/ no savings account ,1 <= x < 4 years ,1,male - single ,none ,4,unknown / no property ,37,none ,for free ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,2
46,0 <= x < 200 DM ,18,existing credits paid back duly till now ,business ,1941,x>= 1000 DM ,1 <= x < 4 years ,4,male - single ,none ,2,building society savings agreement/ life insurance ,35,none ,own ,1,unskilled - resident,1,"yes, registered under the customers name ",yes ,1
47,no checking account ,4,existing credits paid back duly till now ,furniture/equipment ,601,x < 100 DM ,x < 1 year ,1,female - divorced/separated/married ,none ,3,real estate ,23,none ,rent ,1,unskilled - resident,2,none ,yes ,1
48,no checking account ,15,critical account/ other credits existing (not at this bank) ,car (used) ,3368,x>= 1000 DM ,x>= 7 years ,3,male - single ,none ,4,unknown / no property ,23,none ,rent ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
49,no checking account ,6,existing credits paid back duly till now ,furniture/equipment ,1766,x < 100 DM ,1 <= x < 4 years ,1,male - married/widowed ,none ,2,building society savings agreement/ life insurance ,21,none ,rent ,1,skilled employee / official,1,none ,yes ,1
50,no checking account ,36,critical account/ other credits existing (not at this bank) ,car (used) ,5842,x < 100 DM ,x>= 7 years ,2,male - single ,none ,2,building society savings agreement/ life insurance ,35,none ,own ,2,skilled employee / official,2,"yes, registered under the customers name ",yes ,1
51,no checking account ,18,existing credits paid back duly till now ,car (new) ,6761,unknown/ no savings account ,1 <= x < 4 years ,2,male - single ,none ,4,"car or other, not in attribute Account ",68,none ,rent ,2,skilled employee / official,1,none ,yes ,2
52,0 <= x < 200 DM ,36,delay in paying off in the past ,business ,9857,100 <= x < 500 DM ,4 <= x < 7 years ,1,male - single ,none ,3,building society savings agreement/ life insurance ,31,none ,own ,2,unskilled - resident,2,"yes, registered under the customers name ",yes ,1
53,no checking account ,12,existing credits paid back duly till now ,radio/television ,2171,x < 100 DM ,x < 1 year ,2,female - divorced/separated/married ,none ,2,"car or other, not in attribute Account ",29,bank ,own ,1,skilled employee / official,1,none ,yes ,1
54,0 <= x < 200 DM ,12,critical account/ other credits existing (not at this bank) ,car (new) ,1995,100 <= x < 500 DM ,x < 1 year ,4,male - single ,none ,1,"car or other, not in attribute Account ",27,none ,own ,1,skilled employee / official,1,none ,yes ,1
55,x >= 200 DM / salary assignments for at least 1 year ,24,existing credits paid back duly till now ,car (new) ,947,x < 100 DM ,4 <= x < 7 years ,4,male - single ,none ,3,unknown / no property ,38,bank ,for free ,1,skilled employee / official,2,none ,yes ,2
56,no checking account ,24,existing credits paid back duly till now ,radio/television ,1413,x < 100 DM ,1 <= x < 4 years ,4,male - married/widowed ,none ,2,building society savings agreement/ life insurance ,28,none ,own ,1,skilled employee / official,1,none ,yes ,1
57,0 <= x < 200 DM ,18,existing credits paid back duly till now ,car (used) ,2779,x < 100 DM ,1 <= x < 4 years ,1,male - married/widowed ,none ,3,"car or other, not in attribute Account ",21,none ,rent ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
58,0 <= x < 200 DM ,12,existing credits paid back duly till now ,radio/television ,1092,x < 100 DM ,1 <= x < 4 years ,4,female - divorced/separated/married ,guarantor ,4,real estate ,49,none ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
59,no checking account ,48,existing credits paid back duly till now ,business ,3914,unknown/ no savings account ,1 <= x < 4 years ,4,male - divorced/separated ,none ,2,real estate ,38,bank ,own ,1,skilled employee / official,1,none ,yes ,2
60,x < 0 DM ,15,existing credits paid back duly till now ,car (new) ,3959,x < 100 DM ,1 <= x < 4 years ,3,female - divorced/separated/married ,none ,2,building society savings agreement/ life insurance ,29,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,2
61,no checking account ,36,delay in paying off in the past ,radio/television ,4463,x < 100 DM ,1 <= x < 4 years ,4,male - single ,none ,2,"car or other, not in attribute Account ",26,none ,own ,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,2
62,no checking account ,24,existing credits paid back duly till now ,business ,1258,x < 100 DM ,4 <= x < 7 years ,4,male - single ,none ,1,real estate ,25,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
63,x < 0 DM ,24,existing credits paid back duly till now ,furniture/equipment ,4169,x < 100 DM ,1 <= x < 4 years ,4,male - single ,none ,4,building society savings agreement/ life insurance ,28,none ,own ,1,skilled employee / official,1,none ,yes ,1
64,no checking account ,36,critical account/ other credits existing (not at this bank) ,car (used) ,5711,x>= 1000 DM ,x>= 7 years ,4,male - single ,none ,2,"car or other, not in attribute Account ",38,none ,own ,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
65,x < 0 DM ,24,existing credits paid back duly till now ,furniture/equipment ,2359,100 <= x < 500 DM ,unemployed ,1,male - divorced/separated ,none ,1,building society savings agreement/ life insurance ,33,none ,own ,1,skilled employee / official,1,none ,yes ,2
66,no checking account ,24,existing credits paid back duly till now ,car (new) ,1393,x < 100 DM ,1 <= x < 4 years ,2,male - single ,guarantor ,2,real estate ,31,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
67,x >= 200 DM / salary assignments for at least 1 year ,12,existing credits paid back duly till now ,radio/television ,1297,x < 100 DM ,1 <= x < 4 years ,3,male - married/widowed ,none ,4,real estate ,23,none ,rent ,1,skilled employee / official,1,none ,yes ,1
68,0 <= x < 200 DM ,9,existing credits paid back duly till now ,furniture/equipment ,959,x < 100 DM ,1 <= x < 4 years ,1,female - divorced/separated/married ,none ,2,"car or other, not in attribute Account ",29,none ,own ,1,skilled employee / official,1,none ,no ,2
69,0 <= x < 200 DM ,6,existing credits paid back duly till now ,radio/television ,2063,x < 100 DM ,x < 1 year ,4,male - married/widowed ,none ,3,"car or other, not in attribute Account ",30,none ,rent ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
70,0 <= x < 200 DM ,12,no credits taken/ all credits paid back duly ,furniture/equipment ,2969,x < 100 DM ,x < 1 year ,4,female - divorced/separated/married ,none ,3,building society savings agreement/ life insurance ,25,none ,rent ,2,skilled employee / official,1,none ,yes ,2
71,no checking account ,6,critical account/ other credits existing (not at this bank) ,radio/television ,700,unknown/ no savings account ,x>= 7 years ,4,male - single ,none ,4,unknown / no property ,36,none ,for free ,2,skilled employee / official,1,none ,yes ,1
72,no checking account ,24,critical account/ other credits existing (not at this bank) ,furniture/equipment ,2028,x < 100 DM ,4 <= x < 7 years ,2,male - single ,none ,2,building society savings agreement/ life insurance ,30,none ,own ,2,unskilled - resident,1,none ,yes ,1
73,no checking account ,30,existing credits paid back duly till now ,radio/television ,1867,unknown/ no savings account ,x>= 7 years ,4,male - single ,none ,4,"car or other, not in attribute Account ",58,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
74,0 <= x < 200 DM ,60,existing credits paid back duly till now ,car (new) ,7408,100 <= x < 500 DM ,x < 1 year ,4,female - divorced/separated/married ,none ,2,building society savings agreement/ life insurance ,24,none ,own ,1,management/ self-employed/highly qualified employee/ officer,1,none ,yes ,2
75,0 <= x < 200 DM ,18,existing credits paid back duly till now ,radio/television ,1301,x < 100 DM ,x>= 7 years ,4,male - married/widowed ,guarantor ,2,real estate ,32,none ,own ,1,unskilled - resident,1,none ,yes ,1
76,no checking account ,24,existing credits paid back duly till now ,retraining ,937,x < 100 DM ,x < 1 year ,4,male - married/widowed ,none ,3,"car or other, not in attribute Account ",27,none ,own ,2,unskilled - resident,1,none ,yes ,1
77,no checking account ,9,critical account/ other credits existing (not at this bank) ,education ,936,500 <= x < 1000 DM ,x>= 7 years ,4,male - single ,none ,2,"car or other, not in attribute Account ",52,none ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
78,no checking account ,6,existing credits paid back duly till now ,radio/television ,518,x < 100 DM ,1 <= x < 4 years ,3,female - divorced/separated/married ,none ,1,real estate ,29,none ,own ,1,skilled employee / official,1,none ,yes ,1
79,x < 0 DM ,15,no credits taken/ all credits paid back duly ,car (new) ,950,x < 100 DM ,x>= 7 years ,4,male - single ,none ,3,"car or other, not in attribute Account ",33,none ,rent ,2,skilled employee / official,2,none ,yes ,2
80,no checking account ,18,existing credits paid back duly till now ,radio/television ,1453,x < 100 DM ,x < 1 year ,3,female - divorced/separated/married ,none ,1,real estate ,26,none ,own ,1,skilled employee / official,1,none ,yes ,1
81,no checking account ,12,existing credits paid back duly till now ,car (new) ,1884,x < 100 DM ,x>= 7 years ,4,male - single ,none ,4,"car or other, not in attribute Account ",39,none ,own ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
82,x < 0 DM ,9,existing credits paid back duly till now ,radio/television ,1364,x < 100 DM ,4 <= x < 7 years ,3,male - single ,none ,4,real estate ,59,none ,own ,1,skilled employee / official,1,none ,yes ,1
83,x < 0 DM ,9,critical account/ other credits existing (not at this bank) ,radio/television ,1138,x < 100 DM ,1 <= x < 4 years ,4,male - single ,none ,4,real estate ,25,none ,own ,2,unskilled - resident,1,none ,yes ,1
84,no checking account ,12,existing credits paid back duly till now ,furniture/equipment ,1574,x < 100 DM ,1 <= x < 4 years ,4,male - single ,none ,2,real estate ,50,none ,own ,1,skilled employee / official,1,none ,yes ,1
85,0 <= x < 200 DM ,48,no credits taken/ all credits paid back duly ,business ,12204,unknown/ no savings account ,1 <= x < 4 years ,2,male - single ,none ,2,"car or other, not in attribute Account ",48,bank ,own ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
86,x < 0 DM ,18,existing credits paid back duly till now ,radio/television ,1882,x < 100 DM ,1 <= x < 4 years ,4,female - divorced/separated/married ,none ,4,"car or other, not in attribute Account ",25,bank ,rent ,2,skilled employee / official,1,none ,yes ,2
87,no checking account ,48,delay in paying off in the past ,radio/television ,12749,500 <= x < 1000 DM ,4 <= x < 7 years ,4,male - single ,none ,1,"car or other, not in attribute Account ",37,none ,own ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
88,x < 0 DM ,6,critical account/ other credits existing (not at this bank) ,radio/television ,1169,unknown/ no savings account ,x>= 7 years ,4,male - single ,none ,4,real estate ,67,none ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
89,0 <= x < 200 DM ,9,critical account/ other credits existing (not at this bank) ,radio/television ,1154,x < 100 DM ,x>= 7 years ,2,male - single ,none ,4,real estate ,37,none ,own ,3,unskilled - resident,1,none ,yes ,1
90,no checking account ,5,existing credits paid back duly till now ,business ,3448,x < 100 DM ,4 <= x < 7 years ,1,male - single ,none ,4,real estate ,74,none ,own ,1,unskilled - resident,1,none ,yes ,1
91,x < 0 DM ,12,critical account/ other credits existing (not at this bank) ,car (used) ,1526,x < 100 DM ,x>= 7 years ,4,male - single ,none ,4,unknown / no property ,66,none ,for free ,2,management/ self-employed/highly qualified employee/ officer,1,none ,yes ,1
92,no checking account ,24,existing credits paid back duly till now ,furniture/equipment ,2835,500 <= x < 1000 DM ,x>= 7 years ,3,male - single ,none ,4,building society savings agreement/ life insurance ,53,none ,own ,1,skilled employee / official,1,none ,yes ,1
93,0 <= x < 200 DM ,60,existing credits paid back duly till now ,car (new) ,14027,x < 100 DM ,4 <= x < 7 years ,4,male - single ,none ,2,unknown / no property ,27,none ,own ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,2
94,no checking account ,12,existing credits paid back duly till now ,radio/television ,1262,x < 100 DM ,1 <= x < 4 years ,3,male - single ,none ,2,"car or other, not in attribute Account ",25,none ,own ,1,skilled employee / official,1,none ,yes ,1
95,x < 0 DM ,12,existing credits paid back duly till now ,car (new) ,1274,x < 100 DM ,x < 1 year ,3,female - divorced/separated/married ,none ,1,real estate ,37,none ,own ,1,unskilled - resident,1,none ,yes ,2
96,no checking account ,12,critical account/ other credits existing (not at this bank) ,radio/television ,2331,unknown/ no savings account ,x>= 7 years ,1,male - single ,co-applicant ,4,real estate ,49,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
97,0 <= x < 200 DM ,18,delay in paying off in the past ,car (new) ,2899,unknown/ no savings account ,x>= 7 years ,4,male - single ,none ,4,"car or other, not in attribute Account ",43,none ,own ,1,skilled employee / official,2,none ,yes ,1
98,0 <= x < 200 DM ,12,no credits taken/ all credits paid back duly ,retraining ,1410,x < 100 DM ,1 <= x < 4 years ,2,male - single ,none ,2,real estate ,31,none ,own ,1,unskilled - resident,1,"yes, registered under the customers name ",yes ,1
99,0 <= x < 200 DM ,18,existing credits paid back duly till now ,radio/television ,3213,500 <= x < 1000 DM ,x < 1 year ,1,male - married/widowed ,none ,3,real estate ,25,none ,rent ,1,skilled employee / official,1,none ,yes ,1
100,x >= 200 DM / salary assignments for at least 1 year ,18,existing credits paid back duly till now ,radio/television ,2100,x < 100 DM ,1 <= x < 4 years ,4,male - single ,co-applicant ,2,real estate ,37,stores ,own ,1,skilled employee / official,1,none ,yes ,2
101,x < 0 DM ,36,existing credits paid back duly till now ,car (used) ,8229,x < 100 DM ,1 <= x < 4 years ,2,male - single ,none ,2,building society savings agreement/ life insurance ,26,none ,own ,1,skilled employee / official,2,none ,yes ,2
102,x >= 200 DM / salary assignments for at least 1 year ,24,existing credits paid back duly till now ,radio/television ,1258,500 <= x < 1000 DM ,1 <= x < 4 years ,3,female - divorced/separated/married ,none ,3,"car or other, not in attribute Account ",57,none ,own ,1,unskilled - resident,1,none ,yes ,1
103,x < 0 DM ,18,critical account/ other credits existing (not at this bank) ,radio/television ,1880,x < 100 DM ,4 <= x < 7 years ,4,male - married/widowed ,none ,1,building society savings agreement/ life insurance ,32,none ,own ,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
104,0 <= x < 200 DM ,36,existing credits paid back duly till now ,education ,3711,unknown/ no savings account ,1 <= x < 4 years ,2,male - married/widowed ,none ,2,"car or other, not in attribute Account ",27,none ,own ,1,skilled employee / official,1,none ,yes ,1
105,no checking account ,10,existing credits paid back duly till now ,furniture/equipment ,2210,x < 100 DM ,1 <= x < 4 years ,2,male - single ,none ,2,real estate ,25,bank ,rent ,1,unskilled - resident,1,none ,yes ,2
106,no checking account ,24,existing credits paid back duly till now ,car (new) ,1474,100 <= x < 500 DM ,x < 1 year ,4,male - married/widowed ,none ,3,real estate ,33,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
107,0 <= x < 200 DM ,18,critical account/ other credits existing (not at this bank) ,furniture/equipment ,3612,x < 100 DM ,x>= 7 years ,3,female - divorced/separated/married ,none ,4,building society savings agreement/ life insurance ,37,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
108,no checking account ,12,critical account/ other credits existing (not at this bank) ,business ,1264,unknown/ no savings account ,x>= 7 years ,4,male - single ,none ,4,unknown / no property ,57,none ,rent ,1,unskilled - resident,1,none ,yes ,1
109,0 <= x < 200 DM ,36,existing credits paid back duly till now ,furniture/equipment ,9034,100 <= x < 500 DM ,x < 1 year ,4,male - single ,co-applicant ,1,unknown / no property ,29,none ,rent ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,2
110,x < 0 DM ,24,critical account/ other credits existing (not at this bank) ,car (used) ,2957,x < 100 DM ,x>= 7 years ,4,male - single ,none ,4,building society savings agreement/ life insurance ,63,none ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
111,0 <= x < 200 DM ,12,existing credits paid back duly till now ,retraining ,754,unknown/ no savings account ,x>= 7 years ,4,male - single ,none ,4,building society savings agreement/ life insurance ,38,none ,own ,2,skilled employee / official,1,none ,yes ,1
112,x >= 200 DM / salary assignments for at least 1 year ,10,critical account/ other credits existing (not at this bank) ,car (new) ,781,x < 100 DM ,x>= 7 years ,4,male - single ,none ,4,unknown / no property ,63,none ,for free ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
113,no checking account ,7,delay in paying off in the past ,radio/television ,846,unknown/ no savings account ,x>= 7 years ,3,male - single ,none ,4,unknown / no property ,36,none ,for free ,1,skilled employee / official,1,none ,yes ,1
114,no checking account ,24,existing credits paid back duly till now ,car (new) ,1249,x < 100 DM ,x < 1 year ,4,male - married/widowed ,none ,2,real estate ,28,none ,own ,1,skilled employee / official,1,none ,yes ,1
115,no checking account ,18,critical account/ other credits existing (not at this bank) ,radio/television ,1582,x>= 1000 DM ,x>= 7 years ,4,male - single ,none ,4,"car or other, not in attribute Account ",46,none ,own ,2,skilled employee / official,1,none ,yes ,1
116,no checking account ,36,existing credits paid back duly till now ,car (new) ,909,500 <= x < 1000 DM ,x>= 7 years ,4,male - single ,none ,4,building society savings agreement/ life insurance ,36,none ,own ,1,skilled employee / official,1,none ,yes ,1
117,x < 0 DM ,24,all credits at this bank paid back duly ,furniture/equipment ,6872,x < 100 DM ,x < 1 year ,2,male - divorced/separated ,none ,1,building society savings agreement/ life insurance ,55,bank ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,2
